DATA,DISP_UTI_ADULTO,OCUP_UTI_ADULTO,DISP_UTI_PEDIATRICO,OCUP_UTI_PEDIATRICO,DISP_CLINICO_ADULTO,OCUP_CLINICO_ADULTO,DISP_CLINICO_PEDIATRICO,QTD_OCUPACAO_CLINICO_PEDIATRICO
29/04/2020,152,94,27,5,246,106,27,4
30/04/2020,152,103,27,7,247,120,27,10
01/05/2020,152,103,27,7,251,127,27,10
02/05/2020,145,115,27,7,295,135,27,10
03/05/2020,167,124,27,6,296,139,27,11
04/05/2020,157,132,27,6,226,143,27,9
05/05/2020,162,141,27,5,241,138,27,10
06/05/2020,172,154,27,6,190,140,27,6
07/05/2020,212,155,27,10,187,133,27,27
08/05/2020,212,164,27,9,187,141,27,12
09/05/2020,212,175,27,8,187,120,27,13
10/05/2020,212,168,27,9,215,148,27,14
11/05/2020,227,180,27,9,302,139,27,15
12/05/2020,252,186,27,11,342,150,27,14
13/05/2020,256,205,27,10,372,178,27,15
14/05/2020,256,183,27,8,370,155,27,15
15/05/2020,259,211,27,6,360,217,27,14
16/05/2020,262,221,27,11,360,232,27,15
17/05/2020,263,218,27,7,360,259,27,14
18/05/2020,268,228,27,10,372,241,27,14
19/05/2020,272,243,27,11,372,255,27,16
20/05/2020,292,234,27,4,417,273,27,14
21/05/2020,316,247,27,12,405,269,27,14
22/05/2020,341,286,27,10,417,296,27,13
23/05/2020,338,307,27,2,415,293,27,14
24/05/2020,355,244,27,7,414,239,27,14
25/05/2020,374,328,27,7,496,338,27,14
26/05/2020,414,328,27,5,529,347,27,11
27/05/2020,454,345,27,7,509,341,27,12
28/05/2020,450,347,27,8,545,346,27,11
29/05/2020,470,366,27,9,508,340,27,13
30/05/2020,502,366,27,10,508,359,27,11
31/05/2020,506,363,27,7,509,375,27,12
01/06/2020,526,375,27,7,509,371,27,11
02/06/2020,526,378,27,8,509,376,27,8
03/06/2020,526,381,27,7,509,362,27,11
04/06/2020,526,388,27,10,509,398,27,11
05/06/2020,526,396,27,9,509,394,27,10
06/06/2020,526,383,27,8,531,399,27,7
07/06/2020,526,387,27,10,531,394,27,10
08/06/2020,536,395,27,8,531,400,27,12
09/06/2020,530,431,27,9,519,412,27,11
10/06/2020,532,414,27,8,521,421,27,13
11/06/2020,541,444,27,7,521,401,27,14
12/06/2020,543,440,27,10,551,395,27,13
13/06/2020,558,451,27,3,559,424,27,3
14/06/2020,558,468,27,14,581,434,27,13
15/06/2020,558,452,27,13,581,438,27,12
16/06/2020,558,434,27,10,581,447,27,13
17/06/2020,558,434,27,10,581,452,27,13
18/06/2020,558,449,27,10,586,424,27,12
19/06/2020,568,458,27,10,586,434,27,12
20/06/2020,581,463,27,8,600,420,27,11
21/06/2020,581,474,27,9,600,421,27,11
22/06/2020,581,465,27,4,600,423,27,9
23/06/2020,581,473,27,6,600,450,27,10
24/06/2020,581,484,27,10,600,449,27,12
25/06/2020,581,477,27,11,600,458,27,12
26/06/2020,581,468,27,11,600,440,27,14
27/06/2020,581,482,27,11,600,456,27,12
28/06/2020,581,489,27,11,600,438,27,13
29/06/2020,589,481,27,11,610,425,27,13
30/06/2020,589,494,27,13,610,425,27,15
01/07/2020,589,496,27,13,610,434,27,15
02/07/2020,589,493,27,11,610,458,27,14
03/07/2020,594,490,27,7,626,458,27,10
04/07/2020,596,503,27,15,626,457,27,15
05/07/2020,596,493,27,17,626,443,27,15
06/07/2020,606,497,27,15,626,427,27,19
07/07/2020,611,502,27,14,640,417,27,16
08/07/2020,607,487,27,15,640,417,27,17
09/07/2020,607,493,27,16,640,434,27,17
10/07/2020,607,478,27,16,640,444,27,17
11/07/2020,607,480,27,14,640,447,27,15
12/07/2020,607,492,27,13,640,445,27,12
13/07/2020,607,476,27,13,640,433,27,16
14/07/2020,611,472,27,14,680,447,27,17
15/07/2020,611,473,27,14,653,450,27,18
16/07/2020,611,474,27,10,653,429,27,11
17/07/2020,611,475,27,13,653,407,27,13
18/07/2020,631,479,27,12,653,424,27,18
19/07/2020,647,486,27,10,653,434,27,18
20/07/2020,647,484,27,13,653,446,27,16
21/07/2020,647,479,27,15,653,445,27,18
22/07/2020,657,484,27,17,653,451,27,14
23/07/2020,667,490,27,16,669,461,27,16
24/07/2020,667,474,27,17,669,452,27,18
25/07/2020,667,483,27,18,669,440,27,17
26/07/2020,667,483,27,17,669,450,27,18
27/07/2020,667,476,27,18,669,454,27,20
28/07/2020,677,479,27,17,689,441,27,17
29/07/2020,687,501,27,15,689,447,27,17
30/07/2020,687,466,27,16,689,432,27,16
31/07/2020,687,484,27,16,654,357,27,18
01/08/2020,687,503,27,17,654,369,27,17
02/08/2020,692,516,27,15,654,337,27,16
03/08/2020,692,490,27,16,654,333,27,17
04/08/2020,692,474,27,13,654,330,27,16
05/08/2020,692,462,27,14,674,332,27,18
06/08/2020,692,417,27,13,674,346,27,21
07/08/2020,692,409,27,10,674,340,27,23
08/08/2020,692,395,27,9,674,337,27,23
09/08/2020,692,378,27,12,674,328,27,21
10/08/2020,692,397,27,12,674,352,27,21
11/08/2020,692,395,27,12,674,359,27,19
12/08/2020,692,397,27,11,674,352,27,17
13/08/2020,692,415,27,12,674,351,27,19
14/08/2020,692,412,27,10,674,337,27,20
15/08/2020,692,392,27,10,674,339,27,20
16/08/2020,692,388,27,9,674,334,27,20
17/08/2020,692,380,27,10,674,347,27,18
18/08/2020,692,372,27,10,674,362,27,18
19/08/2020,692,374,27,11,674,363,27,17
20/08/2020,692,366,27,12,674,369,27,21
21/08/2020,692,360,27,12,674,380,27,17
22/08/2020,692,349,27,8,674,359,27,20
23/08/2020,692,374,27,9,674,345,27,19
24/08/2020,692,376,27,10,674,339,27,16
25/08/2020,692,357,27,12,694,344,27,17
26/08/2020,692,360,27,12,694,351,27,15
27/08/2020,692,353,27,11,694,351,27,20
28/08/2020,692,362,27,17,714,314,27,20
29/08/2020,692,391,27,13,714,317,27,15
30/08/2020,692,362,27,12,714,302,27,14
31/08/2020,692,342,27,12,714,319,27,13
01/09/2020,692,332,27,10,714,312,27,17
02/09/2020,692,320,27,10,714,296,27,15
03/09/2020,692,320,27,14,714,284,27,12
04/09/2020,692,314,27,13,714,259,27,12
