BAIRRO,CASOS_CONFIRMADOS,COEFICIENTE_INCIDENCIA,POPULACAO,RECUPERADOS
Acupe,1072,95.60,11213,1033
Aeroporto,16,,,15
"Aguas Claras",2922,78.91,37029,2785
"Alto da Terezinha",325,23.20,14010,311
"Alto das Pombas",520,136.02,3823,508
"Alto do Cabrito",855,50.14,17051,818
"Alto do Coqueirinho",367,32.93,11145,348
Amaralina,870,210.91,4125,818
"Areia Branca",88,33.92,2594,79
Arenoso,994,59.87,16604,949
"Arraial do Retiro",430,48.11,8938,407
"Bairro da Paz",1005,51.79,19407,958
"Baixa de Quintas",379,177.52,2135,361
Barbalho,971,105.23,9227,925
Barra,2022,116.89,17298,1935
Barreiras,1111,61.86,17960,1066
Barris,727,150.05,4845,693
"Beiru/Tancredo Neves",3585,71.11,50416,3456
"Boa Viagem",294,126.61,2322,245
"Boa Vista de Brotas",41,13.83,2964,36
"Boa Vista de Sao Caetano",1135,64.17,17688,1083
"Boca da Mata",601,74.49,8068,576
"Boca do Rio",3456,71.95,48032,3333
"Bom Jua",94,6.05,15528,73
Bonfim,1204,127.46,9446,1145
Brotas,6212,88.54,70158,5985
Cabula,3801,159.24,23869,3684
"Cabula VI",1201,111.95,10728,1141
"Caixa D'Agua",1873,83.44,22446,1802
"Cajazeiras II",93,81.79,1137,63
"Cajazeiras IV",201,59.75,3364,194
"Cajazeiras V",289,53.30,5422,278
"Cajazeiras VI",248,33.78,7341,235
"Cajazeiras VII",328,72.50,4524,320
"Cajazeiras VIII",780,59.94,13013,749
"Cajazeiras X",647,76.00,8513,628
"Cajazeiras XI",1222,72.31,16899,1186
Calabar,123,18.97,6484,117
Calabetao,453,62.07,7298,433
Calcada,204,40.61,5024,194
"Caminho das Arvores",2233,181.21,12323,2183
"Caminho de Areia",647,52.52,12318,622
"Campinas de Piraja",1050,89.95,11673,1001
Canabrava,1014,74.21,13664,971
Candeal,1515,111.78,13553,1468
Canela,587,109.95,5339,558
Capelinha,775,48.34,16033,740
Cassange,149,32.16,4633,131
"Castelo Branco",2519,75.17,33510,2398
Centro,2830,180.31,15695,2720
"Centro Administrativo da Bahia",70,,,62
"Centro Historico",71,31.51,2253,69
"Chame - Chame",284,,,269
"Chapada do Rio Vermelho",134,6.10,21955,131
"Cidade Nova",1427,76.22,18722,1359
"Colinas de Periperi",37,,,37
Comercio,201,149.44,1345,194
"Cosme de Farias",2368,61.76,38341,2235
"Costa Azul",1730,85.63,20204,1673
Coutos,1621,62.33,26005,1508
Curuzu,1059,63.49,16681,988
"Dois de Julho",817,,,784
"Dom Avelar",794,67.05,11842,757
Doron,657,89.05,7378,639
"Engenho Velho da Federacao",1682,68.50,24555,1610
"Engenho Velho de Brotas",2520,98.04,25703,2425
Engomadeira,763,60.80,12550,718
"Fazenda Coutos",1426,58.79,24255,1371
"Fazenda Grande do Retiro",4424,82.22,53806,4198
"Fazenda Grande I",460,40.14,11459,430
"Fazenda Grande II",967,53.25,18159,928
"Fazenda Grande III",331,44.35,7464,320
"Fazenda Grande IV",331,69.33,4774,317
Federacao,3728,102.52,36362,3572
Garcia,1319,93.02,14180,1258
Graca,1773,96.08,18454,1698
"Granjas Rurais Presidente Vargas",154,77.08,1998,148
"Horto Florestal",995,,,978
IAPI,2200,89.97,24452,2094
"Ilha Amarela",392,,,370
"Ilha de Bom Jesus dos Passos",177,120.82,1465,177
"Ilha de Mare",221,52.17,4236,213
"Ilha dos Frades",56,76.40,733,54
Imbui,3419,128.82,26540,3315
Itacaranha,1115,69.31,16088,1046
Itaigara,1773,163.05,10874,1712
Itapua,5149,76.90,66961,4934
Itinga,339,28.37,11951,325
"Jardim Armacao",1676,554.05,3025,1636
"Jardim Cajazeiras",481,63.52,7572,453
"Jardim das Margaridas",1125,244.99,4592,1089
"Jardim Nova Esperanca",1045,74.60,14008,1015
"Jardim Santo Inacio",682,78.66,8670,650
